mean1	mean2	sd1	sd2	sampleID
-0.12396297	-15.080131	-5.4889607	-4.7755547	ACKR_ACKR_12452
19.452745	-19.486483	-5.772992	-4.9739766	COLL_COLL_07303
-1.6946253	-7.3935766	-6.121471	-4.978262	DACH_DACH_08241
-13.883428	-17.882896	-5.9060493	-5.183419	PEKE_PEKE_23354
5.1350856	-14.222726	-5.817826	-4.610953	BEAG_BEAG_07870
11.01783	1.063575	-4.660379	-6.102195	BOST_BOST_08704
-1.5326514	-7.1713734	-6.1608443	-5.0165844	DACH_DACH_08267
0.56155545	-7.379334	-6.1070294	-5.4634895	ESSP_ESSP_13183
11.94095	-4.942355	-4.6205773	-6.5129433	ITGY_ITGY_06386
2.9714053	-5.3092184	-6.0077705	-5.6863484	LAB_LAB_011121
-13.155552	-17.10922	-5.79703	-5.0061693	PEKE_PEKE_22961
14.148676	-0.96287245	-5.0629992	-5.806897	MAST_MAST_15585
-12.909496	-3.0073926	-4.5278835	-7.0323668	AKIT_AKIT_12755
